web_name,team,position,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in_event,transfers_out_event,bonus,goals_scored,assists,goals_conceded,clean_sheets,saves,own_goals,penalties_missed,penalties_saved,penalties_order,yellow_cards,red_cards,starts,minutes,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,chance_of_playing_next_round,chance_of_playing_this_round,status,in_dreamteam,dreamteam_count,ep_this,ep_next,strength,is_GKP,goal_involvement
Balogun,ARS,FWD,0.0,4.4,0.2,0,0,0.0,0.0,0.0,0.0,0,379,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,5,0,0
Cédric,ARS,DEF,0.0,3.9000000000000004,0.4,0,0,0.0,0.0,0.0,0.0,664,1058,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Available,0,0,0.0,1.0,5,0,0
M.Elneny,ARS,MID,1.3,4.4,0.1,0,4,0.4,1.8,0.5,2.0,290,675,0,0,1,0,0,0,0,0,0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,100.0,100.0,Available,0,0,1.3,2.3,5,0,1
Fábio Vieira,ARS,MID,2.3,5.4,0.1,1,23,21.9,79.4,63.3,77.0,240,359,0,1,3,2,1,0,0,0,0,4.0,0,0,2,213,1.2,0.35,1.55,1.41,100.0,100.0,Available,0,0,2.3,3.3,5,0,4
Gabriel,ARS,DEF,1.0,4.800000000000001,14.3,2,27,16.9,127.2,13.8,27.0,46436,17407,2,0,0,6,3,0,0,0,0,0.0,1,0,7,654,0.2,0.08,0.28,7.2,100.0,100.0,Available,0,0,1.0,2.0,5,0,0
Havertz,ARS,MID,1.7,7.1000000000000005,1.5,1,24,33.9,96.4,117.3,124.0,1188,2225,0,1,1,5,3,0,0,0,0,3.0,4,0,7,653,1.94,0.64,2.58,5.96,0.0,0.0,Available,0,0,1.7,2.7,5,0,2
G.Jesus,ARS,FWD,0.7,7.800000000000001,2.0,0,18,26.9,67.8,58.7,144.0,354,14131,2,1,1,4,2,0,0,0,0,0.0,2,0,4,362,1.71,0.3,2.01,4.22,0.0,0.0,Injured,0,0,0.0,0.0,5,0,2
Jorginho,ARS,MID,1.3,5.300000000000001,0.2,2,11,9.7,39.6,48.9,9.0,357,324,0,0,0,5,1,0,0,0,0,0.0,1,0,3,291,0.09,0.25,0.34,4.38,100.0,100.0,Available,0,0,1.3,2.3,5,0,0
Kiwior,ARS,DEF,2.0,4.3,0.1,0,8,5.3,29.4,6.4,16.0,184,236,0,0,0,2,1,0,0,0,0,0.0,0,0,2,181,0.32,0.05,0.37,0.82,0.0,0.0,Available,0,0,2.0,3.0,5,0,0
Marquinhos,ARS,MID,0.0,4.5,0.0,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,5,0,0
