web_name,team,position
Balogun,ARS,FWD
Cédric,ARS,DEF
M.Elneny,ARS,MID
Fábio Vieira,ARS,MID
Gabriel,ARS,DEF
Havertz,ARS,MID
G.Jesus,ARS,FWD
Jorginho,ARS,MID
Kiwior,ARS,DEF
Marquinhos,ARS,MID
Martinelli,ARS,MID
Nketiah,ARS,FWD
Ødegaard,ARS,MID
Thomas,ARS,MID
Pepe,ARS,MID
Ramsdale,ARS,GKP
Rúnarsson,ARS,GKP
Saka,ARS,MID
Saliba,ARS,DEF
Smith Rowe,ARS,MID
Tierney,ARS,DEF
Tomiyasu,ARS,DEF
Trossard,ARS,MID
White,ARS,DEF
Xhaka,ARS,MID
Zinchenko,ARS,DEF
Raya,ARS,GKP
Rice,ARS,MID
Nelson,ARS,MID
J.Timber,ARS,DEF
Hein,ARS,GKP
Alex Moreno,AVL,DEF
Bailey,AVL,MID
Buendia,AVL,MID
Cash,AVL,DEF
Chambers,AVL,DEF
Coutinho,AVL,MID
Davis,AVL,FWD
Dendoncker,AVL,MID
Diego Carlos,AVL,DEF
Digne,AVL,DEF
Douglas Luiz,AVL,MID
Duran,AVL,FWD
Hause,AVL,DEF
Iroegbunam,AVL,MID
Kamara,AVL,MID
Konsa,AVL,DEF
Martinez,AVL,GKP
McGinn,AVL,MID
Mings,AVL,DEF
Olsen,AVL,GKP
Philogene,AVL,MID
J.Ramsey,AVL,MID
Sanson,AVL,MID
Sinisalo,AVL,GKP
Tielemans,AVL,MID
Bertrand Traoré,AVL,MID
Watkins,AVL,FWD
Wesley,AVL,FWD
Pau,AVL,DEF
Diaby,AVL,MID
Kellyman,AVL,MID
Marschall,AVL,GKP
Zaniolo,AVL,MID
Zych,AVL,GKP
Lenglet,AVL,DEF
Anthony,BOU,MID
Billing,BOU,MID
Brooks,BOU,MID
Christie,BOU,MID
L.Cook,BOU,MID
Siriki,BOU,MID
Fredericks,BOU,DEF
Hill,BOU,DEF
Kelly,BOU,DEF
Kilkenny,BOU,MID
Kluivert,BOU,MID
Lowe,BOU,MID
Marcondes,BOU,MID
Mepham,BOU,DEF
Moore,BOU,FWD
Neto,BOU,GKP
O.Dango,BOU,MID
Pearson,BOU,MID
Randolph,BOU,GKP
Rothwell,BOU,MID
Semenyo,BOU,FWD
Senesi,BOU,DEF
Smith,BOU,DEF
Solanke,BOU,FWD
Tavernier,BOU,MID
Hamed Traorè,BOU,MID
Travers,BOU,GKP
Zabarnyi,BOU,DEF
Kerkez,BOU,DEF
Radu,BOU,GKP
Greenwood,BOU,DEF
Aarons,BOU,DEF
Scott,BOU,MID
Adams,BOU,MID
Sinisterra,BOU,MID
Ajer,BRE,DEF
Balcombe,BRE,GKP
Baptiste,BRE,MID
Bech,BRE,DEF
Bidstrup,BRE,MID
Canós,BRE,MID
Collins,BRE,DEF
Cox,BRE,GKP
Damsgaard,BRE,MID
Dasilva,BRE,MID
Dervişoğlu,BRE,FWD
Flekken,BRE,GKP
Goode,BRE,DEF
Henry,BRE,DEF
Hickey,BRE,DEF
Janelt,BRE,MID
Jensen,BRE,MID
Lewis-Potter,BRE,MID
Mbeumo,BRE,MID
Mee,BRE,DEF
Nørgaard,BRE,MID
Onyeka,BRE,MID
Pinnock,BRE,DEF
Roerslev,BRE,DEF
Schade,BRE,MID
Strakosha,BRE,GKP
Toney,BRE,FWD
Trevitt,BRE,MID
Wissa,BRE,FWD
Yarmolyuk,BRE,MID
Zanka,BRE,DEF
Maupay,BRE,FWD
Olakigbe,BRE,MID
Brierley,BRE,MID
Ghoddos,BRE,MID
Adingra,BHA,MID
Alzate,BHA,MID
Ayari,BHA,MID
Buonanotte,BHA,MID
Connolly,BHA,FWD
Dahoud,BHA,MID
Dunk,BHA,DEF
Enciso,BHA,MID
Estupiñan,BHA,DEF
Ferguson,BHA,FWD
Gilmour,BHA,MID
Gross,BHA,MID
João Pedro,BHA,FWD
Karbownik,BHA,DEF
Kozłowski,BHA,MID
Lallana,BHA,MID
Lamptey,BHA,DEF
March,BHA,MID
McGill,BHA,GKP
Milner,BHA,MID
Mitoma,BHA,MID
Moder,BHA,MID
Sarmiento,BHA,MID
Scherpen,BHA,GKP
Steele,BHA,GKP
Undav,BHA,FWD
Van Hecke,BHA,DEF
Veltman,BHA,DEF
Verbruggen,BHA,GKP
Webster,BHA,DEF
Welbeck,BHA,FWD
Zeqiri,BHA,FWD
Igor,BHA,DEF
Hinshelwood,BHA,MID
Baleba,BHA,MID
Ansu Fati,BHA,MID
Agyei,BUR,MID
Al-Dakhil,BUR,DEF
Bastien,BUR,MID
Benson,BUR,MID
Beyer,BUR,DEF
Brownhill,BUR,MID
Churlinov,BUR,MID
Cork,BUR,MID
Costelloe,BUR,MID
Cullen,BUR,MID
Egan-Riley,BUR,DEF
Ekdal,BUR,DEF
Foster,BUR,FWD
Franchi,BUR,GKP
Gudmundsson,BUR,MID
McNally,BUR,DEF
Muric,BUR,GKP
O'Shea,BUR,DEF
Obafemi,BUR,FWD
Peacock-Farrell,BUR,GKP
Roberts,BUR,DEF
Rodriguez,BUR,FWD
Taylor,BUR,DEF
Thomas,BUR,DEF
Twine,BUR,MID
Vigouroux,BUR,GKP
Vitinho,BUR,DEF
Weghorst,BUR,FWD
Zaroury,BUR,MID
Berge,BUR,MID
Amdouni,BUR,FWD
Trafford,BUR,GKP
Redmond,BUR,MID
Koleosho,BUR,MID
Bruun Larsen,BUR,MID
Dodgson,BUR,DEF
Odobert,BUR,MID
Delcroix,BUR,DEF
A.Ramsey,BUR,MID
Massengo,BUR,MID
M.Trésor,BUR,MID
Caicedo,CHE,MID
Sanchez,CHE,GKP
Ampadu,CHE,DEF
Arrizabalaga,CHE,GKP
Aubameyang,CHE,FWD
Azpilicueta,CHE,DEF
Baba,CHE,DEF
B.Badiashile,CHE,DEF
Bettinelli,CHE,GKP
Broja,CHE,FWD
Chalobah,CHE,DEF
Chilwell,CHE,DEF
Chukwuemeka,CHE,MID
Colwill,CHE,DEF
Cucurella,CHE,DEF
Enzo,CHE,MID
D.D.Fofana,CHE,FWD
W.Fofana,CHE,DEF
Gallagher,CHE,MID
Gusto,CHE,DEF
James,CHE,DEF
Lukaku,CHE,FWD
Madueke,CHE,MID
Mudryk,CHE,MID
N.Jackson,CHE,FWD
Nkunku,CHE,FWD
Pulisic,CHE,MID
M.Sarr,CHE,DEF
Slonina,CHE,GKP
Sterling,CHE,MID
T.Silva,CHE,DEF
Ziyech,CHE,MID
Palmer,CHE,MID
Ângelo,CHE,MID
Maatsen,CHE,MID
Disasi,CHE,DEF
Ugochukwu,CHE,MID
Burstow,CHE,FWD
Bergström,CHE,GKP
Lavia,CHE,MID
Humphreys,CHE,DEF
Deivid,CHE,FWD
Beach,CHE,GKP
Diego Moreira,CHE,MID
Petrovic,CHE,GKP
Gilchrist,CHE,DEF
Stutter,CHE,FWD
Matos,CHE,MID
Brooking,CHE,DEF
Holding,CRY,DEF
Ahamada,CRY,MID
Andersen,CRY,DEF
J.Ayew,CRY,MID
Clyne,CRY,DEF
C.Doucouré,CRY,MID
Ebiowei,CRY,MID
Edouard,CRY,FWD
Eze,CRY,MID
Guaita,CRY,GKP
Guéhi,CRY,DEF
Hughes,CRY,MID
Johnstone,CRY,GKP
Lerma,CRY,MID
Mateta,CRY,FWD
Matthews,CRY,GKP
Mitchell,CRY,DEF
O'Brien,CRY,DEF
Olise,CRY,MID
Plange,CRY,FWD
C.Richards,CRY,DEF
Riedewald,CRY,MID
Schlupp,CRY,MID
Tomkins,CRY,DEF
Ward,CRY,DEF
Whitworth,CRY,GKP
Henderson,CRY,GKP
Matheus França,CRY,MID
Rak-Sakyi,CRY,MID
Gordon,CRY,FWD
Ola-Adebomi,CRY,FWD
Ozoh,CRY,MID
André Gomes,EVE,MID
Branthwaite,EVE,DEF
Calvert-Lewin,EVE,FWD
Coleman,EVE,DEF
Dele,EVE,MID
A.Doucoure,EVE,MID
Garner,EVE,MID
Gbamin,EVE,MID
Godfrey,EVE,DEF
Gray,EVE,MID
Gana,EVE,MID
Holgate,EVE,DEF
Keane,EVE,DEF
McNeil,EVE,MID
Mykolenko,EVE,DEF
Onana,EVE,MID
Patterson,EVE,DEF
Pickford,EVE,GKP
Simms,EVE,FWD
Tarkowski,EVE,DEF
J.Virginia,EVE,GKP
Lonergan,EVE,GKP
Young,EVE,DEF
Danjuma,EVE,MID
Dobbin,EVE,MID
Y. Chermiti,EVE,FWD
Cannon,EVE,FWD
Onyango,EVE,MID
Harrison,EVE,MID
Beto,EVE,FWD
Hunt,EVE,MID
Iwobi,FUL,MID
Andreas,FUL,MID
Cairney,FUL,MID
I.Cavaleiro,FUL,MID
De Cordova-Reid,FUL,MID
Diop,FUL,DEF
Francois,FUL,MID
Knockaert,FUL,MID
Kongolo,FUL,DEF
Leno,FUL,GKP
Lukić,FUL,MID
Mbabu,FUL,DEF
Mitrović,FUL,FWD
Muniz,FUL,FWD
J.Palhinha,FUL,MID
Ream,FUL,DEF
Reed,FUL,MID
Robinson,FUL,DEF
Rodák,FUL,GKP
Tete,FUL,DEF
Tosin,FUL,DEF
Vinícius,FUL,FWD
Wilson,FUL,MID
Raúl,FUL,FWD
Willian,FUL,MID
Bassey,FUL,DEF
De Fougerolles,FUL,DEF
Stansfield,FUL,FWD
Dibley-Dias,FUL,MID
Adama,FUL,MID
Harris,FUL,MID
Castagne,FUL,DEF
Benda,FUL,GKP
Ballo-Touré,FUL,DEF
Adrián,LIV,GKP
Alexander-Arnold,LIV,DEF
A.Becker,LIV,GKP
Bajcetic,LIV,MID
Darwin,LIV,FWD
Diogo J.,LIV,MID
Elliott,LIV,MID
Fabinho,LIV,MID
Gakpo,LIV,FWD
Gomez,LIV,DEF
Henderson,LIV,MID
Jones,LIV,MID
Kelleher,LIV,GKP
Konaté,LIV,DEF
Luis Díaz,LIV,MID
Mac Allister,LIV,MID
Matip,LIV,DEF
Phillips,LIV,DEF
Robertson,LIV,DEF
Salah,LIV,MID
Szoboszlai,LIV,MID
Thiago,LIV,MID
Tsimikas,LIV,DEF
Van den Berg,LIV,DEF
Virgil,LIV,DEF
Quansah,LIV,DEF
Clark,LIV,MID
Doak,LIV,MID
McConnell,LIV,MID
Endo,LIV,MID
Gravenberch,LIV,MID
Sambi,LUT,MID
Nakamba,LUT,MID
Adebayo,LUT,FWD
Andersen,LUT,DEF
Bell,LUT,DEF
Berry,LUT,MID
Burke,LUT,DEF
Campbell,LUT,MID
Clark,LUT,MID
Doughty,LUT,DEF
Freeman,LUT,MID
Macey,LUT,GKP
McAtee,LUT,FWD
Mendes,LUT,MID
Morris,LUT,FWD
Muskwe,LUT,FWD
Ogbene,LUT,FWD
Onyedinma,LUT,MID
Osho,LUT,DEF
Pepple,LUT,FWD
Pereira,LUT,MID
Potts,LUT,DEF
Rea,LUT,MID
Shea,LUT,GKP
Taylor,LUT,FWD
Thorpe,LUT,MID
Walton,LUT,GKP
Watson,LUT,MID
Woodrow,LUT,FWD
Mengi,LUT,DEF
Giles,LUT,DEF
Lockyer,LUT,DEF
Mpanzu,LUT,MID
Chong,LUT,MID
Kaboré,LUT,DEF
Kaminski,LUT,GKP
Barkley,LUT,MID
Brown,LUT,FWD
Francis-Clarke,LUT,DEF
Krul,LUT,GKP
Johnson,LUT,DEF
Akanji,MCI,DEF
Aké,MCI,DEF
J.Alvarez,MCI,FWD
Bernardo,MCI,MID
Bobb,MCI,MID
Cancelo,MCI,DEF
Carson,MCI,GKP
Charles,MCI,MID
De Bruyne,MCI,MID
Rúben,MCI,DEF
Ederson M.,MCI,GKP
Foden,MCI,MID
Grealish,MCI,MID
Haaland,MCI,FWD
Kovačić,MCI,MID
Laporte,MCI,DEF
R.Lewis,MCI,DEF
Mahrez,MCI,MID
Ortega Moreno,MCI,GKP
Perrone,MCI,MID
Phillips,MCI,MID
Rodrigo,MCI,MID
Sergio Gómez,MCI,DEF
Steffen,MCI,GKP
Stones,MCI,DEF
Walker,MCI,DEF
Matheus N.,MCI,MID
Gvardiol,MCI,DEF
Doku,MCI,MID
Mount,MUN,MID
Alex Telles,MUN,DEF
Amad,MUN,MID
Antony,MUN,MID
B.Fernandes,MUN,MID
B.Williams,MUN,DEF
Bailly,MUN,DEF
Casemiro,MUN,MID
Dalot,MUN,DEF
Eriksen,MUN,MID
Fernandez,MUN,DEF
Fred,MUN,MID
Garnacho,MUN,MID
Hannibal,MUN,MID
Heaton,MUN,GKP
Lindelof,MUN,DEF
Maguire,MUN,DEF
Mainoo,MUN,MID
Malacia,MUN,DEF
Martial,MUN,FWD
Martinez,MUN,DEF
McTominay,MUN,MID
Pellistri,MUN,MID
R.Varane,MUN,DEF
Rashford,MUN,MID
Sancho,MUN,MID
Shaw,MUN,DEF
Shoretire,MUN,FWD
Van de Beek,MUN,MID
Wan-Bissaka,MUN,DEF
Reguilón,MUN,DEF
Onana,MUN,GKP
Højlund,MUN,FWD
Forson,MUN,MID
Vítek,MUN,GKP
Gore,MUN,MID
Altay,MUN,GKP
Evans,MUN,DEF
Amrabat,MUN,MID
Hall,NEW,DEF
Almirón,NEW,MID
Anderson,NEW,MID
Ashby,NEW,DEF
Botman,NEW,DEF
Bruno G.,NEW,MID
Burn,NEW,DEF
Darlow,NEW,GKP
Dubravka,NEW,GKP
Fraser,NEW,MID
Gillespie,NEW,GKP
Gordon,NEW,MID
Hayden,NEW,MID
Hendrick,NEW,MID
Isak,NEW,FWD
Joelinton,NEW,MID
Krafth,NEW,DEF
Kuol,NEW,MID
Lascelles,NEW,DEF
J.Lewis,NEW,DEF
Longstaff,NEW,MID
Manquillo,NEW,DEF
J.Murphy,NEW,MID
Pope,NEW,GKP
Ritchie,NEW,MID
Saint-Maximin,NEW,MID
Schär,NEW,DEF
Targett,NEW,DEF
Tonali,NEW,MID
Trippier,NEW,DEF
Watts,NEW,DEF
Willock,NEW,MID
Wilson,NEW,FWD
Karius,NEW,GKP
Dummett,NEW,DEF
Barnes,NEW,MID
Livramento,NEW,DEF
A.Murphy,NEW,DEF
Miley,NEW,MID
Tavares,NFO,DEF
Turner,NFO,GKP
Andrey,NFO,MID
Hudson-Odoi,NFO,MID
Elanga,NFO,MID
B.Aguilera,NFO,MID
Arter,NFO,MID
Aurier,NFO,DEF
Awoniyi,NFO,FWD
Biancone,NFO,DEF
Boly,NFO,DEF
Bowler,NFO,MID
Cook,NFO,DEF
Danilo,NFO,MID
Dennis,NFO,FWD
Dräger,NFO,DEF
Felipe,NFO,DEF
Freuler,NFO,MID
Gibbs-White,NFO,MID
Hennessey,NFO,GKP
Horvath,NFO,GKP
Kouyaté,NFO,MID
Laryea,NFO,DEF
Mangala,NFO,MID
Mbe Soh,NFO,DEF
McKenna,NFO,DEF
Mighten,NFO,MID
Niakhaté,NFO,DEF
O'Brien,NFO,MID
Ojeda,NFO,MID
Panzo,NFO,DEF
O.Richards,NFO,DEF
G.Scarpa,NFO,MID
J.Shelvey,NFO,MID
Surridge,NFO,FWD
Toffolo,NFO,DEF
Ui-jo,NFO,FWD
Williams,NFO,DEF
Wood,NFO,FWD
Worrall,NFO,DEF
Yates,NFO,MID
Aina,NFO,DEF
G.Shelvey,NFO,GKP
Powell,NFO,DEF
G.Montiel,NFO,DEF
Murillo,NFO,DEF
Odysseas,NFO,GKP
Omobamidele,NFO,DEF
Dominguez,NFO,MID
Sangaré,NFO,MID
Origi,NFO,FWD
Trusty,SHU,DEF
Archer,SHU,FWD
McAtee,SHU,MID
Ahmedhodžić,SHU,DEF
Amissah,SHU,GKP
Baldock,SHU,DEF
Basham,SHU,DEF
Bogle,SHU,DEF
Brewster,SHU,FWD
Coulibaly,SHU,MID
A.Davies,SHU,GKP
Egan,SHU,DEF
Fleck,SHU,MID
Foderingham,SHU,GKP
Jebbison,SHU,FWD
Lowe,SHU,DEF
McBurnie,SHU,FWD
Ndiaye,SHU,FWD
Norrington-Davies,SHU,DEF
Norwood,SHU,MID
Osborn,SHU,MID
Osula,SHU,FWD
Robinson,SHU,DEF
Slimane,SHU,MID
Larouci,SHU,DEF
T.Bénie,SHU,FWD
Vini Souza,SHU,MID
Seriki,SHU,DEF
Marsh,SHU,FWD
Brooks,SHU,MID
Hackford,SHU,FWD
Hamer,SHU,MID
T.Davies,SHU,MID
Thomas,SHU,DEF
Johnson,TOT,MID
Austin,TOT,GKP
Bentancur,TOT,MID
Bissouma,TOT,MID
Bryan,TOT,MID
Davies,TOT,DEF
Dier,TOT,DEF
E.Royal,TOT,DEF
Forster,TOT,GKP
Højbjerg,TOT,MID
Kane,TOT,FWD
Kulusevski,TOT,MID
Lloris,TOT,GKP
Lo Celso,TOT,MID
Maddison,TOT,MID
Ndombele,TOT,MID
Pedro Porro,TOT,DEF
Perišić,TOT,DEF
Richarlison,TOT,MID
Rodon,TOT,DEF
Romero,TOT,DEF
Sánchez,TOT,DEF
Sarr,TOT,MID
Sessegnon,TOT,DEF
Skipp,TOT,MID
Son,TOT,MID
Spence,TOT,DEF
Tanganga,TOT,DEF
Udogie,TOT,DEF
Vicario,TOT,GKP
Whiteman,TOT,GKP
Solomon,TOT,MID
Van de Ven,TOT,DEF
Scarlett,TOT,FWD
Veliz,TOT,FWD
Phillips,TOT,DEF
Donley,TOT,FWD
N.Aguerd,WHU,DEF
Antonio,WHU,FWD
Areola,WHU,GKP
Benrahma,WHU,MID
Bowen,WHU,MID
Cornet,WHU,MID
Coufal,WHU,DEF
Coventry,WHU,MID
Cresswell,WHU,DEF
Downes,WHU,MID
Emerson,WHU,DEF
Fabianski,WHU,GKP
P.Fornals,WHU,MID
Ings,WHU,FWD
Johnson,WHU,DEF
Kehrer,WHU,DEF
Mubama,WHU,FWD
L.Paquetá,WHU,MID
Scamacca,WHU,FWD
Souček,WHU,MID
Vlašić,WHU,MID
Zouma,WHU,DEF
Ogbonna,WHU,DEF
Álvarez,WHU,MID
Anang,WHU,GKP
Ward-Prowse,WHU,MID
Mavropanos,WHU,DEF
Kudus,WHU,MID
Doyle,WOL,MID
Aït-Nouri,WOL,DEF
Bentley,WOL,GKP
Bolla,WOL,DEF
H.Bueno,WOL,DEF
